Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,3250.0,3250.0,3210.0,3220.0,3035.8564453125,901800
2017-01-05,3200.0,3215.0,3180.0,3210.0,3026.42822265625,1228000
2017-01-06,3205.0,3220.0,3190.0,3215.0,3031.142333984375,984200
2017-01-10,3225.0,3280.0,3210.0,3250.0,3064.140869140625,1156600
2017-01-11,3270.0,3280.0,3245.0,3260.0,3073.569091796875,807200
2017-01-12,3220.0,3230.0,3190.0,3225.0,3040.570068359375,858200
2017-01-13,3225.0,3270.0,3225.0,3255.0,3068.8544921875,693700
2017-01-16,3245.0,3260.0,3220.0,3230.0,3045.284423828125,756200
2017-01-17,3215.0,3220.0,3125.0,3125.0,2946.289306640625,964600
2017-01-18,3130.0,3175.0,3115.0,3165.0,2984.001708984375,766200
2017-01-19,3180.0,3200.0,3145.0,3155.0,2974.573486328125,690100
2017-01-20,3115.0,3155.0,3110.0,3145.0,2965.1455078125,750500
2017-01-23,3115.0,3125.0,3100.0,3105.0,2927.433349609375,674200
2017-01-24,3110.0,3140.0,3105.0,3120.0,2941.574951171875,745400
2017-01-25,3170.0,3180.0,3115.0,3135.0,2955.71728515625,623200
2017-01-26,3145.0,3195.0,3140.0,3190.0,3007.572021484375,749500
2017-01-27,3200.0,3210.0,3150.0,3160.0,2979.288330078125,800600
2017-01-30,3160.0,3175.0,3145.0,3150.0,2969.859619140625,639500
2017-01-31,3125.0,3135.0,3110.0,3110.0,2932.147216796875,938900
2017-02-01,3120.0,3180.0,3100.0,3175.0,2993.43017578125,1157400
2017-02-02,3170.0,3180.0,3080.0,3090.0,2913.29052734375,904900
2017-02-03,3090.0,3090.0,3025.0,3040.0,2866.150390625,1005500
2017-02-06,3080.0,3110.0,3060.0,3095.0,2918.00537109375,890700
2017-02-07,3060.0,3085.0,3010.0,3015.0,2842.579833984375,803300
2017-02-08,3100.0,3115.0,3015.0,3040.0,2866.150390625,1615600
2017-02-09,3050.0,3105.0,3045.0,3085.0,2908.5771484375,1356400
2017-02-10,3115.0,3125.0,3070.0,3090.0,2913.29052734375,727600
2017-02-13,3140.0,3150.0,3115.0,3150.0,2969.859619140625,791100
2017-02-14,3165.0,3165.0,3110.0,3110.0,2932.147216796875,748300
2017-02-15,3115.0,3155.0,3110.0,3140.0,2960.431640625,1187500
2017-02-16,3140.0,3155.0,3095.0,3130.0,2951.00390625,785500
2017-02-17,3105.0,3140.0,3100.0,3130.0,2951.00390625,564200
2017-02-20,3105.0,3125.0,3090.0,3110.0,2932.147216796875,493600
2017-02-21,3140.0,3165.0,3130.0,3155.0,2974.573486328125,658300
2017-02-22,3180.0,3185.0,3145.0,3170.0,2988.7158203125,786600
2017-02-23,3195.0,3235.0,3150.0,3225.0,3040.570068359375,1227300
2017-02-24,3225.0,3250.0,3220.0,3245.0,3059.426513671875,962000
2017-02-27,3215.0,3245.0,3200.0,3225.0,3040.570068359375,833600
2017-02-28,3245.0,3280.0,3230.0,3235.0,3049.998779296875,1174000
2017-03-01,3235.0,3285.0,3230.0,3275.0,3087.71142578125,889700
2017-03-02,3300.0,3300.0,3265.0,3270.0,3082.997314453125,817700
2017-03-03,3270.0,3300.0,3260.0,3290.0,3101.852783203125,1283400
2017-03-06,3295.0,3310.0,3265.0,3285.0,3097.13916015625,798700
2017-03-07,3335.0,3355.0,3305.0,3320.0,3130.137451171875,1239800
2017-03-08,3305.0,3325.0,3300.0,3305.0,3115.995361328125,908800
2017-03-09,3335.0,3390.0,3315.0,3385.0,3191.4208984375,1069900
