Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,1759.0,1768.0,1753.0,1767.0,1496.116455078125,2310500
2017-01-05,1773.0,1793.0,1768.0,1782.0,1508.8167724609375,1248800
2017-01-06,1775.0,1839.0,1771.0,1838.0,1556.23193359375,2349300
2017-01-10,1830.0,1848.0,1807.0,1813.0,1535.0645751953125,1725800
2017-01-11,1819.0,1822.0,1812.0,1813.0,1535.0645751953125,843300
2017-01-12,1802.0,1807.0,1786.0,1803.0,1526.597412109375,1003600
2017-01-13,1795.0,1810.0,1782.0,1798.0,1522.3641357421875,1149100
2017-01-16,1798.0,1798.0,1763.0,1770.0,1498.656494140625,1423100
2017-01-17,1758.0,1766.0,1727.0,1728.0,1463.0950927734375,1870900
2017-01-18,1708.0,1725.0,1696.0,1717.0,1453.7813720703125,1797300
2017-01-19,1724.0,1742.0,1714.0,1730.0,1464.7884521484375,1863500
2017-01-20,1711.0,1751.0,1711.0,1743.0,1475.795654296875,1190500
2017-01-23,1717.0,1740.0,1713.0,1727.0,1462.2484130859375,883800
2017-01-24,1749.0,1759.0,1730.0,1734.0,1468.17529296875,1344900
2017-01-25,1758.0,1763.0,1745.0,1754.0,1485.109375,1040400
2017-01-26,1776.0,1814.0,1769.0,1812.0,1534.2178955078125,1674000
2017-01-27,1815.0,1818.0,1785.0,1785.0,1511.3570556640625,1153000
2017-01-30,1801.0,1804.0,1790.0,1792.0,1517.2838134765625,824100
2017-01-31,1772.0,1782.0,1765.0,1776.0,1503.7369384765625,1006100
2017-02-01,1767.0,1793.0,1756.0,1788.0,1513.89697265625,926300
2017-02-02,1781.0,1783.0,1761.0,1764.0,1493.5762939453125,1047300
2017-02-03,1768.0,1773.0,1752.0,1762.0,1491.8828125,975200
2017-02-06,1765.0,1781.0,1741.0,1779.0,1506.277099609375,1390000
2017-02-07,1800.0,1800.0,1636.0,1680.0,1422.4537353515625,4224300
2017-02-08,1695.0,1701.0,1672.0,1694.0,1434.307373046875,2061000
2017-02-09,1700.0,1710.0,1692.0,1701.0,1440.2342529296875,1330300
2017-02-10,1723.0,1726.0,1704.0,1717.0,1453.7813720703125,1051800
2017-02-13,1723.0,1737.0,1717.0,1735.0,1469.0220947265625,803600
2017-02-14,1735.0,1735.0,1720.0,1729.0,1463.94189453125,1098000
2017-02-15,1740.0,1742.0,1699.0,1706.0,1444.4677734375,1487300
2017-02-16,1694.0,1703.0,1683.0,1696.0,1436.000732421875,1306300
2017-02-17,1691.0,1702.0,1673.0,1699.0,1438.541015625,1130700
2017-02-20,1687.0,1692.0,1671.0,1678.0,1420.7601318359375,1167400
2017-02-21,1670.0,1690.0,1662.0,1689.0,1430.073974609375,1320100
2017-02-22,1698.0,1700.0,1676.0,1683.0,1424.9935302734375,1036800
2017-02-23,1686.0,1691.0,1672.0,1689.0,1430.073974609375,796300
2017-02-24,1675.0,1683.0,1656.0,1663.0,1408.0596923828125,1475400
2017-02-27,1647.0,1671.0,1636.0,1668.0,1412.293212890625,1329300
2017-02-28,1669.0,1670.0,1652.0,1653.0,1399.5927734375,1283600
2017-03-01,1656.0,1672.0,1648.0,1670.0,1413.9866943359375,891700
2017-03-02,1688.0,1706.0,1671.0,1704.0,1442.7742919921875,1287700
2017-03-03,1679.0,1679.0,1636.0,1644.0,1391.97265625,2605800
2017-03-06,1634.0,1635.0,1611.0,1620.0,1371.6517333984375,1450300
2017-03-07,1616.0,1618.0,1601.0,1614.0,1366.5716552734375,1686300
