銘柄名,市場・商品区分,33業種区分,17業種区分
極洋,プライム（内国株式）,水産・農林業,食品 
ニッスイ,プライム（内国株式）,水産・農林業,食品 
マルハニチロ,プライム（内国株式）,水産・農林業,食品 
雪国まいたけ,プライム（内国株式）,水産・農林業,食品 
カネコ種苗,スタンダード（内国株式）,水産・農林業,食品 
サカタのタネ,プライム（内国株式）,水産・農林業,食品 
ホクト,プライム（内国株式）,水産・農林業,食品 
秋川牧園,スタンダード（内国株式）,水産・農林業,食品 
アクシーズ,スタンダード（内国株式）,水産・農林業,食品 
ホーブ,スタンダード（内国株式）,水産・農林業,食品 
ベルグアース,スタンダード（内国株式）,水産・農林業,食品 
ホクリヨウ,スタンダード（内国株式）,水産・農林業,食品 
ルーデン・ホールディングス,グロース（内国株式）,建設業,建設・資材 
エムビーエス,グロース（内国株式）,建設業,建設・資材 
ウエストホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材 
ミライト・ワン,プライム（内国株式）,建設業,建設・資材 
インターライフホールディングス,スタンダード（内国株式）,建設業,建設・資材 
タマホーム,プライム（内国株式）,建設業,建設・資材 
サンヨーホームズ,スタンダード（内国株式）,建設業,建設・資材 
日本アクア,プライム（内国株式）,建設業,建設・資材 
ファーストコーポレーション,スタンダード（内国株式）,建設業,建設・資材 
Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,建設・資材 
動力,PRO Market,建設業,建設・資材 
ベステラ,プライム（内国株式）,建設業,建設・資材 
ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,建設・資材 
Ｒｏｂｏｔ　Ｈｏｍｅ,スタンダード（内国株式）,不動産業,不動産 
フィット,グロース（内国株式）,建設業,建設・資材 
岐阜造園,スタンダード（内国株式）,建設業,建設・資材 
安江工務店,スタンダード（内国株式）,建設業,建設・資材 
やまぜんホームズ,PRO Market,建設業,建設・資材 
技研ホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ニッソウ,グロース（内国株式）,建設業,建設・資材 
ひかりホールディングス,PRO Market,建設業,建設・資材 
キャンディル,スタンダード（内国株式）,建設業,建設・資材 
ＩＴｂｏｏｋホールディングス,グロース（内国株式）,建設業,建設・資材 
田中建設工業,スタンダード（内国株式）,建設業,建設・資材 
ＫＨＣ,スタンダード（内国株式）,建設業,建設・資材 
横浜ライト工業,PRO Market,建設業,建設・資材 
中外鉱業,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄 
住石ホールディングス,スタンダード（内国株式）,鉱業,エネルギー資源 
日鉄鉱業,プライム（内国株式）,鉱業,エネルギー資源 
三井松島ホールディングス,プライム（内国株式）,鉱業,エネルギー資源 
ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源 
石油資源開発,プライム（内国株式）,鉱業,エネルギー資源 
Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,エネルギー資源 
ＳＤＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ダイセキ環境ソリューション,スタンダード（内国株式）,建設業,建設・資材 
第一カッター興業,スタンダード（内国株式）,建設業,建設・資材 
明豊ファシリティワークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
美樹工業,スタンダード（内国株式）,建設業,建設・資材 
安藤・間,プライム（内国株式）,建設業,建設・資材 
東急建設,プライム（内国株式）,建設業,建設・資材 
コムシスホールディングス,プライム（内国株式）,建設業,建設・資材 
日本電技,スタンダード（内国株式）,建設業,建設・資材 
シンクレイヤ,スタンダード（内国株式）,建設業,建設・資材 
ビーアールホールディングス,プライム（内国株式）,建設業,建設・資材 
麻生フオームクリート,スタンダード（内国株式）,建設業,建設・資材 
オーテック,スタンダード（内国株式）,建設業,建設・資材 
メルディアＤＣ,グロース（内国株式）,建設業,建設・資材 
コーアツ工業,スタンダード（内国株式）,建設業,建設・資材 
創建エース,スタンダード（内国株式）,建設業,建設・資材 
太洋基礎工業,スタンダード（内国株式）,建設業,建設・資材 
高松コンストラクショングループ,プライム（内国株式）,建設業,建設・資材 
工藤建設,スタンダード（内国株式）,建設業,建設・資材 
東建コーポレーション,プライム（内国株式）,建設業,建設・資材 
ソネック,スタンダード（内国株式）,建設業,建設・資材 
藤田エンジニアリング,スタンダード（内国株式）,建設業,建設・資材 
ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,建設業,建設・資材 
富士古河Ｅ＆Ｃ,スタンダード（内国株式）,建設業,建設・資材 
三井住建道路,スタンダード（内国株式）,建設業,建設・資材 
ヤマウラ,プライム（内国株式）,建設業,建設・資材 
アジアゲートホールディングス,スタンダード（内国株式）,建設業,建設・資材 
オリエンタル白石,プライム（内国株式）,建設業,建設・資材 
ナカボーテック,スタンダード（内国株式）,建設業,建設・資材 
三東工業社,スタンダード（内国株式）,建設業,建設・資材 
ＥＴＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 
大本組,スタンダード（内国株式）,建設業,建設・資材 
マサル,スタンダード（内国株式）,建設業,建設・資材 
守谷商会,スタンダード（内国株式）,建設業,建設・資材 
第一建設工業,スタンダード（内国株式）,建設業,建設・資材 
大成建設,プライム（内国株式）,建設業,建設・資材 
大林組,プライム（内国株式）,建設業,建設・資材 
清水建設,プライム（内国株式）,建設業,建設・資材 
飛島建設,プライム（内国株式）,建設業,建設・資材 
佐藤渡辺,スタンダード（内国株式）,建設業,建設・資材 
長谷工コーポレーション,プライム（内国株式）,建設業,建設・資材 
松井建設,スタンダード（内国株式）,建設業,建設・資材 
錢高組,スタンダード（内国株式）,建設業,建設・資材 
鹿島建設,プライム（内国株式）,建設業,建設・資材 
不動テトラ,プライム（内国株式）,建設業,建設・資材 
大末建設,プライム（内国株式）,建設業,建設・資材 
鉄建建設,プライム（内国株式）,建設業,建設・資材 
西松建設,プライム（内国株式）,建設業,建設・資材 
三井住友建設,プライム（内国株式）,建設業,建設・資材 
大豊建設,スタンダード（内国株式）,建設業,建設・資材 
佐田建設,スタンダード（内国株式）,建設業,建設・資材 
ナカノフドー建設,スタンダード（内国株式）,建設業,建設・資材 
田辺工業,スタンダード（内国株式）,建設業,建設・資材 
奥村組,プライム（内国株式）,建設業,建設・資材 
東鉄工業,プライム（内国株式）,建設業,建設・資材 
土屋ホールディングス,スタンダード（内国株式）,建設業,建設・資材 
サンユー建設,スタンダード（内国株式）,建設業,建設・資材 
